crossover_type,crossover_rate,mutation_type,mutation_rate,mutation_std_dev,selection_type,selection_size,distance,case_study,CA_size,population_size,input_locations,input_order,input_percentage,steps,sort_rules,chromosome_evol,input_loc_evol,output_loc_evol,growth_rate_mean_fitness_training,growth_rate_mean_fitness_control,growth_rate_best_fitness_training,growth_rate_best_fitness_control
single_point,0.07220502577548416,bit_flip,0.013031499731571583,,roulette,,hamming,number_plus_one,20,8,random,ordered,0.6657358708051222,11,equal_behaviour,yes,yes,no,0.00040980368081032563,0.0002961923237444553,-6.707080853055279e-06,0.00010399348344105872
none,0.7032894029858546,bit_flip,0.7745110299548443,,tournament,5,manhattan,number_plus_one,10,10,evenly_distributed,ordered,0.022624368610016377,23,different_behaviour,no,no,no,0.0010966513251864788,0.00029452159316343705,0.0,-0.0010994764397905747
uniform,0.6945595254014394,bit_flip,0.003119466534689197,,roulette,,manhattan,number_divided_by_two,15,19,evenly_distributed,random,0.6044965112111363,23,big_average_big_std,yes,no,yes,-3.129676161041707e-05,-0.00025944474476994857,-0.0006506806150743641,-0.0009097994607347494
single_point,0.4820161849778597,bit_flip,0.6983136589812738,,roulette,,euclidean,number_divided_by_two,15,8,random,random,0.5943411009419,11,different_behaviour,yes,no,no,0.00010290696587345203,-0.00015519465298815567,-5.5907419603777626e-05,-0.000343664976900354
single_point,0.6759333978951969,bit_flip,0.2297000396132557,,roulette,,euclidean,number_divided_by_two,20,9,evenly_distributed,random,0.36353335472607284,13,equal_behaviour,no,yes,no,0.000145399721193844,0.0006039169444036207,-0.000376031157852734,0.0002769493083009317
none,0.8320397970349629,gaussian,,8.262793136464126,tournament,7,euclidean,number_plus_one,25,8,random,random,0.0414667489318582,10,different_behaviour,no,no,no,0.0007875290531393208,0.0004230829674554624,0.0,-0.0011078373695344115
single_point,0.9526131961737707,gaussian,,4.115612286474928,roulette,,euclidean,number_divided_by_two,15,18,evenly_distributed,random,0.3892032634906467,28,big_average_low_std,no,no,no,-0.00014021006746588123,-0.000638704863581018,-0.0023301372433581742,-0.0019202799492941628
single_point,0.9665938357083362,bit_flip,0.46855240796742936,,roulette,,manhattan,number_plus_one,10,9,evenly_distributed,ordered,0.9533765082704535,24,big_average_low_std,no,no,no,-0.00010392914101938873,-0.00015861952224954952,-0.000368544386621626,-0.0008705195414056172
uniform,0.5877642361868176,bit_flip,0.6242392538150898,,roulette,,euclidean,number_divided_by_two,15,17,random,random,0.6683147384858077,15,big_average_low_std,yes,no,no,0.0002661509685647917,1.154246391871958e-05,0.0003593808538529539,-0.00016343889449608348
single_point,0.6505465838628977,gaussian,,5.420243072150127,tournament,6,manhattan,number_divided_by_two,10,17,random,ordered,0.4572823083152676,29,big_average_big_std,no,no,no,0.001235363529091404,0.00030113378684807235,-0.0008190476190476181,-0.0014781021897810225
single_point,0.20514349945461208,bit_flip,0.21255270554061223,,tournament,7,manhattan,number_divided_by_two,20,9,evenly_distributed,ordered,0.05764644677661057,16,big_average_low_std,no,no,no,0.0014151436031331584,0.00044718983817643946,0.0,-0.0008734402852049908
none,0.8998748737050504,bit_flip,0.9213347453917332,,tournament,7,euclidean,number_divided_by_two,25,16,random,random,0.3622411993553344,12,equal_behaviour,yes,no,no,0.0005904535513635608,-2.1809707770492758e-05,0.00021526154918244213,-0.0007867307773309507
none,0.6254953115068058,gaussian,,4.011795621500166,roulette,,euclidean,number_plus_one,25,10,random,random,0.5941839014140095,29,different_behaviour,no,no,no,-2.9443665684723364e-05,-8.474850749416195e-05,-0.0002838657491031051,-0.0003245379443412706
none,0.5285800224291939,bit_flip,0.9228691637566122,,tournament,7,hamming,number_divided_by_two,25,8,random,random,0.10307372417372229,25,random,no,no,no,0.0004999999999999997,0.0011128048780487806,0.0,-0.0004856115107913661
single_point,0.9069544987981897,bit_flip,0.025215266277774373,,roulette,,euclidean,number_divided_by_two,20,11,evenly_distributed,ordered,0.17243491384811205,21,different_behaviour,yes,no,no,0.0003195409126606972,0.000381395948402382,-0.0007505905078918254,-0.0005792717745020465
single_point,0.5051189609345711,bit_flip,0.49422473783148346,,roulette,,hamming,number_divided_by_two,25,18,random,ordered,0.4217762808619463,12,random,yes,no,no,0.00021341215164155642,0.0001834751295944125,2.426215411074587e-05,-5.2080078328437984e-05
single_point,0.37067756858135625,bit_flip,0.14902880790627282,,roulette,,hamming,number_divided_by_two,15,16,evenly_distributed,random,0.6096371689004847,22,low_average_low_std,no,no,yes,0.0010116607585146321,0.0002971552376861889,0.0013599003735990036,-0.00037349706248441915
none,0.46401019345246997,bit_flip,0.05496043657365468,,roulette,,hamming,number_plus_one,20,18,random,random,0.6948172049628306,21,equal_behaviour,yes,yes,no,0.00018661894843860372,-0.0003447375638832287,-0.0005024847687689133,-0.001665377097106316
uniform,0.5366409061761112,bit_flip,0.11811025969042077,,roulette,,manhattan,number_plus_one,15,18,evenly_distributed,random,0.1130747369561883,10,equal_behaviour,yes,yes,no,0.0010011313756517078,-0.002642710341421449,-0.0023964395754878473,-0.012264448889356776
none,0.6283673608561312,gaussian,,7.153689744131248,roulette,,hamming,number_plus_one,20,11,random,ordered,0.4293600517652332,23,big_average_big_std,no,no,no,0.0001725625219135113,0.0003465017053064719,-0.00025947465967917185,-0.00029346981083182137
uniform,0.30097748388288237,gaussian,,6.734774770811367,tournament,8,hamming,number_plus_one,15,12,random,random,0.5182556799567775,29,equal_behaviour,no,no,no,0.0010500458976146721,0.000908116681312558,0.0,0.0
none,0.7628538347251984,gaussian,,2.4558257115657294,roulette,,manhattan,number_divided_by_two,25,11,evenly_distributed,random,0.5388619871295284,22,different_behaviour,no,no,no,0.00022813548416259803,0.0001333706716701358,-0.00013904076122347477,-4.1718532447890536e-05
uniform,0.9368100272763195,bit_flip,0.41016542041323123,,tournament,7,euclidean,number_plus_one,20,13,random,ordered,0.6168057954769136,27,big_average_low_std,no,no,no,0.00017445608127603167,1.4654728830425605e-05,0.0,-0.00015345436124355089
none,0.45038812425702,bit_flip,0.4790863906095586,,tournament,4,manhattan,number_plus_one,10,14,evenly_distributed,random,0.2943618861227988,10,big_average_big_std,no,no,no,0.000964726827639922,-0.00039031564656635603,0.0,-0.0015492957746478875
single_point,0.5673024907638805,bit_flip,0.006992281764240271,,tournament,3,manhattan,number_divided_by_two,25,15,random,random,0.8601564888467563,20,big_average_low_std,yes,no,yes,0.00010076730722994917,7.947007626048156e-06,4.5211160908324677e-07,-0.00011500779503933124
uniform,0.12397458098650749,bit_flip,0.8780389783246912,,roulette,,manhattan,number_plus_one,20,19,evenly_distributed,random,0.503567041039779,13,equal_behaviour,no,no,no,8.674027540668709e-05,3.9532794334349924e-05,-0.0005385207851953615,-0.0012516389981554333
uniform,0.6816979404727322,bit_flip,0.2727911675939688,,tournament,4,manhattan,number_plus_one,25,11,evenly_distributed,ordered,0.6157674576565756,28,equal_behaviour,yes,no,yes,0.0017748066087966592,0.001578755109525498,0.0017073896610219933,0.0013290360675097185
single_point,0.5152302977890042,bit_flip,0.5275773431649554,,tournament,4,hamming,number_plus_one,15,9,random,ordered,0.838355621934329,28,different_behaviour,yes,no,no,0.001367242386417716,0.0016195711623515168,0.0013378653439519402,0.0015002369507819376
uniform,0.8725063916031115,bit_flip,0.01823532119500393,,roulette,,manhattan,number_divided_by_two,20,17,evenly_distributed,ordered,0.4621708182783514,15,random,yes,yes,yes,0.00047173864983762363,0.0003944413640553443,-0.00012265378182494064,-0.0005565042906544838
uniform,0.25799906873561973,bit_flip,0.7646374034426655,,tournament,6,euclidean,number_divided_by_two,10,17,random,random,0.2078970664694203,17,big_average_low_std,yes,no,no,0.0007313595719068644,0.0001164614353349741,0.0005493897663635853,-0.0008609500876673048
none,0.5910264895270956,bit_flip,0.23603288239388487,,tournament,6,euclidean,number_plus_one,10,9,random,ordered,0.44207953596006955,13,big_average_big_std,no,no,no,0.0007171222697070015,0.0018501481179221569,0.0,0.0
uniform,0.20038094067715062,bit_flip,0.2479008845975913,,tournament,5,manhattan,number_divided_by_two,25,16,evenly_distributed,ordered,0.43557764537254373,27,random,no,yes,yes,0.003475236207623195,0.0035122961694521917,0.0018483773475287677,0.00221669794542757
single_point,0.07084282028760303,bit_flip,0.26799456748621364,,tournament,5,euclidean,number_divided_by_two,25,17,evenly_distributed,ordered,0.6887058744532221,22,equal_behaviour,yes,no,no,-0.00011856696388485636,1.6665984836698856e-05,-0.0002303889978248421,-0.00013669313143237018
